Disease,Specialist
Fungal infection,Dermatologist
Allergy,Allergist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
Drug Reaction,Allergist
Peptic ulcer diseae,Gastroenterologist
AIDS,Primary Care Provider
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedic
Paralysis (brain hemorrhage)',Neurosurgeon
Jaundice,Gastroenterologist
Malaria,Infectious Disease Doctor
Chicken pox,Primary Care Provider
Dengue,Infectious Disease Doctor
Typhoid,Infectious Disease Doctor
hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Infectious Disease Doctor
Common Cold,Primary Care Provider
Pneumonia,Pulmonologist
Dimorphic hemmorhoids(piles),Proctologist
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthristis,Orthopedic
Arthritis,Orthopedic
(vertigo) Paroymsal  Positional Vertigo,Neurologist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
